Fecha;lon;lat
2457023.5;348.528;-1.617
2457024.5;349.159;-1.607
2457025.5;349.789;-1.597
2457026.5;350.42;-1.587
2457027.5;351.05;-1.577
2457028.5;351.679;-1.566
2457029.5;352.309;-1.555
2457030.5;352.938;-1.544
2457031.5;353.567;-1.533
2457032.5;354.195;-1.522
2457033.5;354.823;-1.51
2457034.5;355.451;-1.498
2457035.5;356.079;-1.487
2457036.5;356.706;-1.474
2457037.5;357.332;-1.462
2457038.5;357.958;-1.45
2457039.5;358.584;-1.437
2457040.5;359.21;-1.424
2457041.5;359.834;-1.411
2457042.5;0.459;-1.398
2457043.5;1.083;-1.385
2457044.5;1.706;-1.372
2457045.5;2.329;-1.358
2457046.5;2.951;-1.344
2457047.5;3.573;-1.331
2457048.5;4.194;-1.316
2457049.5;4.815;-1.302
2457050.5;5.435;-1.288
2457051.5;6.055;-1.274
2457052.5;6.674;-1.259
2457053.5;7.292;-1.244
2457054.5;7.91;-1.23
2457055.5;8.527;-1.215
2457056.5;9.144;-1.2
2457057.5;9.76;-1.184
2457058.5;10.375;-1.169
2457059.5;10.99;-1.154
2457060.5;11.604;-1.138
2457061.5;12.217;-1.122
2457062.5;12.83;-1.107
2457063.5;13.442;-1.091
2457064.5;14.053;-1.075
2457065.5;14.664;-1.059
2457066.5;15.274;-1.042
2457067.5;15.883;-1.026
2457068.5;16.492;-1.01
2457069.5;17.099;-0.993
2457070.5;17.706;-0.977
2457071.5;18.312;-0.96
2457072.5;18.918;-0.943
2457073.5;19.523;-0.926
2457074.5;20.127;-0.909
2457075.5;20.73;-0.892
2457076.5;21.332;-0.875
2457077.5;21.934;-0.858
2457078.5;22.535;-0.841
2457079.5;23.135;-0.824
2457080.5;23.734;-0.806
2457081.5;24.332;-0.789
2457082.5;24.93;-0.771
2457083.5;25.526;-0.754
2457084.5;26.122;-0.736
2457085.5;26.717;-0.719
2457086.5;27.311;-0.701
2457087.5;27.905;-0.683
2457088.5;28.497;-0.665
2457089.5;29.089;-0.647
2457090.5;29.68;-0.63
2457091.5;30.27;-0.612
2457092.5;30.859;-0.594
2457093.5;31.447;-0.576
2457094.5;32.034;-0.558
2457095.5;32.62;-0.54
2457096.5;33.206;-0.521
2457097.5;33.791;-0.503
2457098.5;34.374;-0.485
2457099.5;34.957;-0.467
2457100.5;35.539;-0.449
2457101.5;36.12;-0.431
2457102.5;36.7;-0.412
2457103.5;37.279;-0.394
2457104.5;37.858;-0.376
2457105.5;38.435;-0.358
2457106.5;39.011;-0.339
2457107.5;39.587;-0.321
2457108.5;40.161;-0.303
2457109.5;40.735;-0.285
2457110.5;41.308;-0.266
2457111.5;41.88;-0.248
2457112.5;42.45;-0.23
2457113.5;43.02;-0.211
2457114.5;43.589;-0.193
2457115.5;44.157;-0.175
2457116.5;44.725;-0.157
2457117.5;45.291;-0.138
2457118.5;45.856;-0.12
2457119.5;46.42;-0.102
2457120.5;46.984;-0.084
2457121.5;47.546;-0.066
2457122.5;48.107;-0.048
2457123.5;48.668;-0.03
2457124.5;49.227;-0.012
2457125.5;49.786;0.006
2457126.5;50.344;0.024
2457127.5;50.901;0.042
2457128.5;51.456;0.06
2457129.5;52.011;0.078
2457130.5;52.565;0.096
2457131.5;53.118;0.114
2457132.5;53.67;0.132
2457133.5;54.221;0.149
2457134.5;54.771;0.167
2457135.5;55.32;0.185
2457136.5;55.868;0.202
2457137.5;56.416;0.22
2457138.5;56.962;0.237
2457139.5;57.508;0.255
2457140.5;58.052;0.272
2457141.5;58.596;0.289
2457142.5;59.138;0.307
2457143.5;59.68;0.324
2457144.5;60.22;0.341
2457145.5;60.76;0.358
2457146.5;61.299;0.375
2457147.5;61.837;0.392
2457148.5;62.374;0.409
2457149.5;62.91;0.426
2457150.5;63.445;0.443
2457151.5;63.98;0.459
2457152.5;64.513;0.476
2457153.5;65.045;0.493
2457154.5;65.577;0.509
2457155.5;66.107;0.526
2457156.5;66.637;0.542
2457157.5;67.166;0.558
2457158.5;67.694;0.574
2457159.5;68.221;0.591
2457160.5;68.747;0.607
2457161.5;69.272;0.623
2457162.5;69.796;0.638
2457163.5;70.319;0.654
2457164.5;70.842;0.67
2457165.5;71.364;0.686
2457166.5;71.884;0.701
2457167.5;72.404;0.717
2457168.5;72.923;0.732
2457169.5;73.441;0.747
2457170.5;73.958;0.763
2457171.5;74.475;0.778
2457172.5;74.99;0.793
2457173.5;75.505;0.808
2457174.5;76.019;0.823
2457175.5;76.532;0.837
2457176.5;77.044;0.852
2457177.5;77.555;0.867
2457178.5;78.065;0.881
2457179.5;78.575;0.896
2457180.5;79.084;0.91
2457181.5;79.592;0.924
2457182.5;80.099;0.938
2457183.5;80.605;0.952
2457184.5;81.111;0.966
2457185.5;81.615;0.98
2457186.5;82.119;0.994
2457187.5;82.622;1.007
2457188.5;83.124;1.021
2457189.5;83.626;1.034
2457190.5;84.126;1.048
2457191.5;84.626;1.061
2457192.5;85.125;1.074
2457193.5;85.623;1.087
2457194.5;86.121;1.1
2457195.5;86.618;1.113
2457196.5;87.114;1.125
2457197.5;87.609;1.138
2457198.5;88.103;1.151
2457199.5;88.597;1.163
2457200.5;89.09;1.175
2457201.5;89.582;1.187
2457202.5;90.073;1.2
2457203.5;90.564;1.212
2457204.5;91.054;1.223
2457205.5;91.543;1.235
2457206.5;92.032;1.247
2457207.5;92.52;1.258
2457208.5;93.007;1.27
2457209.5;93.493;1.281
2457210.5;93.979;1.292
2457211.5;94.464;1.303
2457212.5;94.948;1.314
2457213.5;95.432;1.325
2457214.5;95.915;1.336
2457215.5;96.397;1.347
2457216.5;96.878;1.357
2457217.5;97.359;1.368
2457218.5;97.84;1.378
2457219.5;98.319;1.388
2457220.5;98.798;1.399
2457221.5;99.276;1.409
2457222.5;99.754;1.418
2457223.5;100.231;1.428
2457224.5;100.707;1.438
2457225.5;101.183;1.447
2457226.5;101.658;1.457
2457227.5;102.132;1.466
2457228.5;102.606;1.475
2457229.5;103.079;1.485
2457230.5;103.552;1.494
2457231.5;104.024;1.502
2457232.5;104.495;1.511
2457233.5;104.966;1.52
2457234.5;105.436;1.528
2457235.5;105.906;1.537
2457236.5;106.375;1.545
2457237.5;106.844;1.553
2457238.5;107.312;1.561
2457239.5;107.779;1.569
2457240.5;108.246;1.577
2457241.5;108.712;1.585
2457242.5;109.178;1.593
2457243.5;109.643;1.6
2457244.5;110.108;1.608
2457245.5;110.572;1.615
2457246.5;111.035;1.622
2457247.5;111.498;1.629
2457248.5;111.961;1.636
2457249.5;112.423;1.643
2457250.5;112.884;1.65
2457251.5;113.345;1.656
2457252.5;113.806;1.663
2457253.5;114.266;1.669
2457254.5;114.726;1.675
2457255.5;115.185;1.682
2457256.5;115.643;1.688
2457257.5;116.101;1.694
2457258.5;116.559;1.699
2457259.5;117.016;1.705
2457260.5;117.473;1.711
2457261.5;117.929;1.716
2457262.5;118.385;1.721
2457263.5;118.841;1.727
2457264.5;119.296;1.732
2457265.5;119.75;1.737
2457266.5;120.204;1.742
2457267.5;120.658;1.746
2457268.5;121.111;1.751
2457269.5;121.564;1.756
2457270.5;122.017;1.76
2457271.5;122.469;1.764
2457272.5;122.92;1.769
2457273.5;123.372;1.773
2457274.5;123.823;1.777
2457275.5;124.273;1.781
2457276.5;124.723;1.784
2457277.5;125.173;1.788
2457278.5;125.623;1.791
2457279.5;126.072;1.795
2457280.5;126.521;1.798
2457281.5;126.969;1.801
2457282.5;127.417;1.804
2457283.5;127.865;1.807
2457284.5;128.312;1.81
2457285.5;128.759;1.813
2457286.5;129.206;1.816
2457287.5;129.653;1.818
2457288.5;130.099;1.821
2457289.5;130.545;1.823
2457290.5;130.99;1.825
2457291.5;131.435;1.827
2457292.5;131.88;1.829
2457293.5;132.325;1.831
2457294.5;132.77;1.833
2457295.5;133.214;1.834
2457296.5;133.658;1.836
2457297.5;134.101;1.837
