Fecha;RAH;RAM;RAS;DECG;DECM;DECS
2454832.5;20;18;32.85;-20;7;43.2
2454837.5;20;20;20.28;-20;2;23.3
2454842.5;20;22;7.66;-19;56;59.2
2454847.5;20;23;54.98;-19;51;30.9
2454852.5;20;25;42.26;-19;45;58.3
2454857.5;20;27;29.49;-19;40;21.5
2454862.5;20;29;16.65;-19;34;40.5
2454867.5;20;31;3.77;-19;28;55.3
2454872.5;20;32;50.84;-19;23;5.9
2454877.5;20;34;37.84;-19;17;12.4
2454882.5;20;36;24.79;-19;11;14.7
2454887.5;20;38;11.68;-19;5;12.9
2454892.5;20;39;58.51;-18;59;7.1
2454897.5;20;41;45.28;-18;52;57.2
2454902.5;20;43;32;-18;46;43.2
2454912.5;20;47;5.24;-18;34;3.1
2454917.5;20;48;51.76;-18;27;37.1
2454922.5;20;50;38.23;-18;21;7.1
2454927.5;20;52;24.63;-18;14;33.1
2454932.5;20;54;10.96;-18;7;55.3
2454937.5;20;55;57.23;-18;1;13.4
2454942.5;20;57;43.43;-17;54;27.8
2454947.5;20;59;29.56;-17;47;38.3
2454952.5;21;1;15.63;-17;40;44.9
2454957.5;21;3;1.63;-17;33;47.7
2454962.5;21;4;47.56;-17;26;46.7
2454967.5;21;6;33.42;-17;19;42
2454972.5;21;8;19.22;-17;12;33.5
2454977.5;21;10;4.94;-17;5;21.3
2454982.5;21;11;50.59;-16;58;5.4
2454987.5;21;13;36.18;-16;50;45.8
2454992.5;21;15;21.69;-16;43;22.6
2454997.5;21;17;7.12;-16;35;55.8
2455002.5;21;18;52.49;-16;28;25.3
2455012.5;21;22;23.01;-16;13;13.8
2455017.5;21;24;8.17;-16;5;32.7
2455022.5;21;25;53.26;-15;57;48.1
2455027.5;21;27;38.26;-15;50;0.1
2455032.5;21;29;23.19;-15;42;8.7
2455037.5;21;31;8.06;-15;34;13.8
2455042.5;21;32;52.85;-15;26;15.5
2455047.5;21;34;37.57;-15;18;13.9
2455052.5;21;36;22.22;-15;10;9
2455057.5;21;38;6.79;-15;2;0.7
2455062.5;21;39;51.29;-14;53;49.2
2455067.5;21;41;35.72;-14;45;34.5
2455072.5;21;43;20.08;-14;37;16.5
2455077.5;21;45;4.36;-14;28;55.4
2455082.5;21;46;48.57;-14;20;31.1
2455087.5;21;48;32.72;-14;12;3.6
2455092.5;21;50;16.78;-14;3;33.1
2455097.5;21;52;0.78;-13;54;59.5
2455102.5;21;53;44.71;-13;46;22.8
2455107.5;21;55;28.57;-13;37;43.2
2455112.5;21;57;12.35;-13;29;0.6
2455117.5;21;58;56.07;-13;20;15
2455122.5;22;0;39.72;-13;11;26.5
2455127.5;22;2;23.29;-13;2;35.1
2455132.5;22;4;6.8;-12;53;40.9
2455137.5;22;5;50.24;-12;44;43.8
2455142.5;22;7;33.62;-12;35;44
2455147.5;22;9;16.92;-12;26;41.4
2455152.5;22;11;0.16;-12;17;36.1
2455157.5;22;12;43.33;-12;8;28
2455162.5;22;14;26.43;-11;59;17.3
2455167.5;22;16;9.48;-11;50;4
2455172.5;22;17;52.46;-11;40;48
2455177.5;22;19;35.37;-11;31;29.5
2455182.5;22;21;18.22;-11;22;8.5
2455187.5;22;23;1.01;-11;12;44.9
2455192.5;22;24;43.73;-11;3;18.9
2455197.5;22;26;26.39;-10;53;50.5
2455202.5;22;28;9;-10;44;19.6
2455207.5;22;29;51.55;-10;34;46.4
2455212.5;22;31;34.03;-10;25;10.9
2455217.5;22;33;16.46;-10;15;33
2455222.5;22;34;58.84;-10;5;52.8
2455227.5;22;36;41.15;-9;56;10.5
2455232.5;22;38;23.4;-9;46;25.9
2455237.5;22;40;5.61;-9;36;39.2
2455242.5;22;41;47.76;-9;26;50.3
2455247.5;22;43;29.86;-9;16;59.3
2455252.5;22;45;11.91;-9;7;6.3
2455262.5;22;48;35.85;-8;47;14.2
2455272.5;22;51;59.6;-8;27;14.2
2455277.5;22;53;41.4;-8;17;11.3
2455282.5;22;55;23.15;-8;7;6.7
2455287.5;22;57;4.87;-7;57;0.1
2455292.5;22;58;46.54;-7;46;51.8
2455302.5;23;2;9.75;-7;26;30.1
2455307.5;23;3;51.29;-7;16;16.6
2455312.5;23;5;32.79;-7;6;1.6
2455317.5;23;7;14.26;-6;55;44.9
2455322.5;23;8;55.69;-6;45;26.6
2455327.5;23;10;37.08;-6;35;6.9
2455332.5;23;12;18.44;-6;24;45.6
2455342.5;23;15;41.06;-6;3;58.7
2455347.5;23;17;22.32;-5;53;33.2
2455352.5;23;19;3.55;-5;43;6.3
2455362.5;23;22;25.93;-5;22;8.6
2455367.5;23;24;7.08;-5;11;37.9
2455372.5;23;25;48.2;-5;1;6
2455377.5;23;27;29.3;-4;50;32.9
2455392.5;23;32;32.48;-4;18;47.1
2455397.5;23;34;13.5;-4;8;9.7
2455402.5;23;35;54.5;-3;57;31.4
2455407.5;23;37;35.49;-3;46;52.1
2455412.5;23;39;16.46;-3;36;11.9
2455417.5;23;40;57.42;-3;25;30.9
2455422.5;23;42;38.37;-3;14;49
2455427.5;23;44;19.3;-3;4;6.3
2455432.5;23;46;0.23;-2;53;22.9
2455437.5;23;47;41.15;-2;42;38.7
2455442.5;23;49;22.06;-2;31;53.9
2455447.5;23;51;2.97;-2;21;8.5
2455452.5;23;52;43.88;-2;10;22.5
2455457.5;23;54;24.78;-1;59;35.8
2455462.5;23;56;5.69;-1;48;48.7
2455467.5;23;57;46.59;-1;38;1.1
2455472.5;23;59;27.5;-1;27;13.1
2455477.5;0;1;8.4;-1;16;24.6
2455482.5;0;2;49.32;-1;5;35.8
2455487.5;0;4;30.24;0;54;46.6
2455492.5;0;6;11.17;0;43;57.2
2455497.5;0;7;52.1;0;33;7.5
2455502.5;0;9;33.05;0;22;17.5
2455507.5;0;11;14.01;0;11;27.4
2455512.5;0;12;54.98;0;0;37.2
2455517.5;0;14;35.97;0;10;13.1
2455522.5;0;16;16.98;0;21;3.5
2455527.5;0;17;58;0;31;53.9
2455532.5;0;19;39.04;0;42;44.3
2455537.5;0;21;20.1;0;53;34.7
2455542.5;0;23;1.18;1;4;24.9
2455547.5;0;24;42.29;1;15;15
2455552.5;0;26;23.42;1;26;4.9
2455557.5;0;28;4.58;1;36;54.6
2455562.5;0;29;45.76;1;47;44.1
2455567.5;0;31;26.97;1;58;33.2
2455572.5;0;33;8.22;2;9;22.1
2455577.5;0;34;49.49;2;20;10.5
2455582.5;0;36;30.8;2;30;58.6
2455587.5;0;38;12.14;2;41;46.2
2455592.5;0;39;53.52;2;52;33.3
2455597.5;0;41;34.94;3;3;19.9
2455602.5;0;43;16.39;3;14;5.9
2455607.5;0;44;57.89;3;24;51.3
2455612.5;0;46;39.43;3;35;36.1
2455617.5;0;48;21.01;3;46;20.1
2455622.5;0;50;2.63;3;57;3.5
2455627.5;0;51;44.3;4;7;46.1
2455632.5;0;53;26.01;4;18;27.9
2455637.5;0;55;7.78;4;29;8.8
2455642.5;0;56;49.59;4;39;48.9
2455647.5;0;58;31.46;4;50;28
2455652.5;1;0;13.37;5;1;6.2
2455657.5;1;1;55.34;5;11;43.4
2455662.5;1;3;37.37;5;22;19.5
2455667.5;1;5;19.45;5;32;54.6
2455672.5;1;7;1.58;5;43;28.5
2455677.5;1;8;43.78;5;54;1.3
2455682.5;1;10;26.04;6;4;32.9
2455687.5;1;12;8.35;6;15;3.2
2455692.5;1;13;50.73;6;25;32.3
2455697.5;1;15;33.18;6;36;0.1
2455702.5;1;17;15.68;6;46;26.5
2455707.5;1;18;58.26;6;56;51.5
2455712.5;1;20;40.9;7;7;15.1
2455717.5;1;22;23.6;7;17;37.2
2455722.5;1;24;6.38;7;27;57.8
2455727.5;1;25;49.23;7;38;16.9
2455732.5;1;27;32.15;7;48;34.3
2455737.5;1;29;15.14;7;58;50.1
2455742.5;1;30;58.21;8;9;4.3
2455747.5;1;32;41.35;8;19;16.8
2455752.5;1;34;24.56;8;29;27.5
2455757.5;1;36;7.85;8;39;36.4
2455762.5;1;37;51.23;8;49;43.6
2455767.5;1;39;34.68;8;59;48.8
2455772.5;1;41;18.21;9;9;52.2
2455777.5;1;43;1.82;9;19;53.6
2455782.5;1;44;45.51;9;29;53
2455787.5;1;46;29.28;9;39;50.5
2455792.5;1;48;13.15;9;49;45.9
2455797.5;1;49;57.09;9;59;39.1
2455802.5;1;51;41.12;10;9;30.3
2455807.5;1;53;25.23;10;19;19.3
2455812.5;1;55;9.44;10;29;6.1
2455817.5;1;56;53.73;10;38;50.6
2455822.5;1;58;38.1;10;48;32.9
2455827.5;2;0;22.58;10;58;12.8
2455832.5;2;2;7.13;11;7;50.4
2455837.5;2;3;51.78;11;17;25.6
2455842.5;2;5;36.52;11;26;58.4
2455847.5;2;7;21.36;11;36;28.7
2455852.5;2;9;6.28;11;45;56.5
2455857.5;2;10;51.3;11;55;21.7
2455862.5;2;12;36.42;12;4;44.4
2455867.5;2;14;21.63;12;14;4.4
2455872.5;2;16;6.93;12;23;21.8
2455877.5;2;17;52.34;12;32;36.5
2455882.5;2;19;37.83;12;41;48.5
2455887.5;2;21;23.42;12;50;57.7
2455892.5;2;23;9.12;13;0;4.1
2455897.5;2;24;54.91;13;9;7.7
2455902.5;2;26;40.79;13;18;8.4
