Fecha;RAH;RAM;RAS;DECG;DECM;DECS
2457142.5;3;47;24.37;20;15;53.6
2457143.5;3;49;38.78;20;23;55.1
2457144.5;3;51;53.19;20;31;49.3
2457145.5;3;54;7.6;20;39;36.2
2457146.5;3;56;22.01;20;47;15.8
2457147.5;3;58;36.4;20;54;48.1
2457148.5;4;0;50.79;21;2;13.1
2457149.5;4;3;5.17;21;9;30.6
2457150.5;4;5;19.54;21;16;40.8
2457151.5;4;7;33.89;21;23;43.6
2457152.5;4;9;48.22;21;30;39
2457153.5;4;12;2.53;21;37;27
2457154.5;4;14;16.82;21;44;7.5
2457155.5;4;16;31.08;21;50;40.6
2457156.5;4;18;45.32;21;57;6.2
2457157.5;4;20;59.52;22;3;24.4
2457158.5;4;23;13.69;22;9;35.1
2457159.5;4;25;27.83;22;15;38.2
2457160.5;4;27;41.93;22;21;33.9
2457161.5;4;29;55.99;22;27;22.1
2457162.5;4;32;10;22;33;2.8
2457163.5;4;34;23.97;22;38;36
2457164.5;4;36;37.88;22;44;1.6
2457165.5;4;38;51.75;22;49;19.7
2457166.5;4;41;5.56;22;54;30.4
2457167.5;4;43;19.31;22;59;33.5
2457168.5;4;45;33;23;4;29
2457169.5;4;47;46.62;23;9;17.1
2457170.5;4;50;0.18;23;13;57.6
2457171.5;4;52;13.67;23;18;30.6
2457172.5;4;54;27.08;23;22;56.1
2457173.5;4;56;40.42;23;27;14.1
2457174.5;4;58;53.67;23;31;24.6
2457175.5;5;1;6.85;23;35;27.6
2457176.5;5;3;19.93;23;39;23.2
2457177.5;5;5;32.93;23;43;11.2
2457178.5;5;7;45.84;23;46;51.8
2457179.5;5;9;58.65;23;50;24.8
2457180.5;5;12;11.36;23;53;50.5
2457181.5;5;14;23.96;23;57;8.7
2457182.5;5;16;36.46;24;0;19.5
2457183.5;5;18;48.86;24;3;22.8
2457184.5;5;21;1.14;24;6;18.8
2457185.5;5;23;13.3;24;9;7.3
2457186.5;5;25;25.35;24;11;48.5
2457187.5;5;27;37.28;24;14;22.4
2457188.5;5;29;49.08;24;16;48.9
2457189.5;5;32;0.75;24;19;8
2457190.5;5;34;12.29;24;21;19.9
2457191.5;5;36;23.7;24;23;24.4
2457192.5;5;38;34.97;24;25;21.7
2457193.5;5;40;46.09;24;27;11.8
2457194.5;5;42;57.08;24;28;54.6
2457195.5;5;45;7.92;24;30;30.2
2457196.5;5;47;18.6;24;31;58.7
2457197.5;5;49;29.14;24;33;19.9
2457198.5;5;51;39.51;24;34;34.1
2457199.5;5;53;49.73;24;35;41.1
2457200.5;5;55;59.79;24;36;41
2457201.5;5;58;9.68;24;37;33.9
2457202.5;6;0;19.4;24;38;19.7
2457203.5;6;2;28.95;24;38;58.6
2457204.5;6;4;38.33;24;39;30.4
2457205.5;6;6;47.53;24;39;55.3
2457206.5;6;8;56.55;24;40;13.2
2457207.5;6;11;5.38;24;40;24.3
2457208.5;6;13;14.04;24;40;28.5
2457209.5;6;15;22.5;24;40;25.8
2457210.5;6;17;30.77;24;40;16.3
2457211.5;6;19;38.85;24;40;0.1
2457212.5;6;21;46.74;24;39;37.1
2457213.5;6;23;54.42;24;39;7.4
2457214.5;6;26;1.91;24;38;31
2457215.5;6;28;9.19;24;37;47.9
2457216.5;6;30;16.27;24;36;58.2
2457217.5;6;32;23.14;24;36;2
2457218.5;6;34;29.8;24;34;59.2
2457219.5;6;36;36.24;24;33;49.8
2457220.5;6;38;42.47;24;32;34
2457221.5;6;40;48.49;24;31;11.7
2457222.5;6;42;54.28;24;29;43.1
2457223.5;6;44;59.85;24;28;8
2457224.5;6;47;5.2;24;26;26.6
2457225.5;6;49;10.33;24;24;38.9
2457226.5;6;51;15.23;24;22;44.9
2457227.5;6;53;19.9;24;20;44.7
2457228.5;6;55;24.34;24;18;38.3
2457229.5;6;57;28.54;24;16;25.8
2457230.5;6;59;32.52;24;14;7.1
2457231.5;7;1;36.26;24;11;42.4
2457232.5;7;3;39.76;24;9;11.6
2457233.5;7;5;43.02;24;6;34.7
2457234.5;7;7;46.04;24;3;52
2457235.5;7;9;48.82;24;1;3.3
2457236.5;7;11;51.36;23;58;8.7
2457237.5;7;13;53.65;23;55;8.2
2457238.5;7;15;55.7;23;52;2
2457239.5;7;17;57.5;23;48;49.9
2457240.5;7;19;59.06;23;45;32.2
2457241.5;7;22;0.37;23;42;8.7
2457242.5;7;24;1.42;23;38;39.6
2457243.5;7;26;2.23;23;35;4.9
2457244.5;7;28;2.79;23;31;24.6
2457245.5;7;30;3.09;23;27;38.8
2457246.5;7;32;3.14;23;23;47.4
2457247.5;7;34;2.94;23;19;50.7
2457248.5;7;36;2.48;23;15;48.5
2457249.5;7;38;1.77;23;11;40.9
2457250.5;7;40;0.8;23;7;28
2457251.5;7;41;59.58;23;3;9.8
2457252.5;7;43;58.1;22;58;46.4
2457253.5;7;45;56.37;22;54;17.7
2457254.5;7;47;54.38;22;49;43.9
2457255.5;7;49;52.13;22;45;5
2457256.5;7;51;49.62;22;40;20.9
2457257.5;7;53;46.86;22;35;31.8
2457258.5;7;55;43.84;22;30;37.7
2457259.5;7;57;40.57;22;25;38.6
2457260.5;7;59;37.03;22;20;34.6
2457261.5;8;1;33.24;22;15;25.8
2457262.5;8;3;29.19;22;10;12
2457263.5;8;5;24.89;22;4;53.5
2457264.5;8;7;20.33;21;59;30.2
2457265.5;8;9;15.51;21;54;2.1
2457266.5;8;11;10.44;21;48;29.4
2457267.5;8;13;5.11;21;42;52
2457268.5;8;14;59.52;21;37;10
2457269.5;8;16;53.69;21;31;23.4
2457270.5;8;18;47.59;21;25;32.3
2457271.5;8;20;41.25;21;19;36.8
2457272.5;8;22;34.65;21;13;36.7
2457273.5;8;24;27.8;21;7;32.3
2457274.5;8;26;20.7;21;1;23.5
2457275.5;8;28;13.35;20;55;10.3
2457276.5;8;30;5.75;20;48;52.8
2457277.5;8;31;57.9;20;42;31.1
2457278.5;8;33;49.8;20;36;5.2
2457279.5;8;35;41.45;20;29;35.1
2457280.5;8;37;32.86;20;23;0.8
2457281.5;8;39;24.02;20;16;22.5
2457282.5;8;41;14.95;20;9;40
2457283.5;8;43;5.62;20;2;53.6
2457284.5;8;44;56.06;19;56;3.1
2457285.5;8;46;46.25;19;49;8.7
2457286.5;8;48;36.21;19;42;10.4
2457287.5;8;50;25.93;19;35;8.2
2457288.5;8;52;15.41;19;28;2.1
2457289.5;8;54;4.66;19;20;52.3
2457290.5;8;55;53.67;19;13;38.6
2457291.5;8;57;42.46;19;6;21.3
2457292.5;8;59;31.01;18;59;0.2
2457293.5;9;1;19.33;18;51;35.5
2457294.5;9;3;7.42;18;44;7.1
