Fecha;RAH;RAM;RAS;DECG;DECM;DECS
2449353.5;22;15;35.15;-12;25;33.6
2449358.5;22;16;12.1;-12;22;27.3
2449363.5;22;16;49.06;-12;19;20.7
2449368.5;22;17;26;-12;16;13.8
2449373.5;22;18;2.94;-12;13;6.4
2449378.5;22;18;39.88;-12;9;58.7
2449383.5;22;19;16.81;-12;6;50.7
2449388.5;22;19;53.73;-12;3;42.3
2449393.5;22;20;30.65;-12;0;33.5
2449398.5;22;21;7.57;-11;57;24.4
2449403.5;22;21;44.48;-11;54;15
2449408.5;22;22;21.39;-11;51;5.2
2449413.5;22;22;58.29;-11;47;55
2449418.5;22;23;35.19;-11;44;??44.5
2449423.5;22;24;12.08;-11;41;33.6
2449428.5;22;24;48.98;-11;38;22.5
2449433.5;22;25;25.86;-11;35;10.9
2449438.5;22;26;2.74;-11;31;59
2449443.5;22;26;39.62;-11;28;46.8
2449448.5;22;27;16.49;-11;25;34.2
2449453.5;22;27;53.36;-11;22;21.3
2449458.5;22;28;30.23;-11;19;8.1
2449463.5;22;29;7.09;-11;15;54.5
2449468.5;22;29;43.94;-11;12;40.5
2449473.5;22;30;20.8;-11;9;26.3
2449478.5;22;30;57.65;-11;6;11.7
2449483.5;22;31;34.5;-11;2;56.8
2449488.5;22;32;11.34;-10;59;41.5
2449493.5;22;32;48.19;-10;56;25.9
2449498.5;22;33;25.02;-10;53;10
2449503.5;22;34;1.85;-10;49;53.7
2449508.5;22;34;38.68;-10;46;37.2
2449513.5;22;35;15.51;-10;43;20.3
2449518.5;22;35;52.33;-10;40;3
2449523.5;22;36;29.16;-10;36;45.5
2449528.5;22;37;5.97;-10;33;27.6
2449533.5;22;37;42.78;-10;30;9.4
2449538.5;22;38;19.6;-10;26;50.9
2449543.5;22;38;56.41;-10;23;32.1
2449548.5;22;39;33.21;-10;20;12.9
2449553.5;22;40;10.01;-10;16;53.5
2449558.5;22;40;46.82;-10;13;33.7
2449563.5;22;41;23.61;-10;10;13.6
2449568.5;22;42;0.41;-10;6;53.2
2449573.5;22;42;37.2;-10;3;32.5
2449578.5;22;43;13.99;-10;0;11.5
2449583.5;22;43;50.78;-9;56;50.1
2449588.5;22;44;27.57;-9;53;28.5
2449593.5;22;45;4.35;-9;50;6.5
2449598.5;22;45;41.13;-9;46;44.3
2449603.5;22;46;17.91;-9;43;21.7
2449608.5;22;46;54.69;-9;39;58.8
2449613.5;22;47;31.46;-9;36;35.7
2449618.5;22;48;8.24;-9;33;12.2
2449623.5;22;48;45.01;-9;29;48.5
2449628.5;22;49;21.78;-9;26;24.4
2449633.5;22;49;58.55;-9;23;0
2449638.5;22;50;35.32;-9;19;35.4
2449643.5;22;51;12.08;-9;16;10.4
2449648.5;22;51;48.85;-9;12;45.2
2449653.5;22;52;25.61;-9;9;19.6
2449658.5;22;53;2.37;-9;5;53.8
2449663.5;22;53;39.13;-9;2;27.7
2449668.5;22;54;15.89;-8;59;1.3
2449673.5;22;54;52.65;-8;55;34.6
2449678.5;22;55;29.4;-8;52;7.6
2449683.5;22;56;6.16;-8;48;40.4
2449688.5;22;56;42.92;-8;45;12.8
2449693.5;22;57;19.67;-8;41;45
2449698.5;22;57;56.43;-8;38;16.9
2449703.5;22;58;33.18;-8;34;48.5
2449708.5;22;59;9.93;-8;31;19.9
2449713.5;22;59;46.68;-8;27;50.9
2449718.5;23;0;23.44;-8;24;21.7
2449723.5;23;1;0.18;-8;20;52.2
2449728.5;23;1;36.94;-8;17;22.5
2449733.5;23;2;13.69;-8;13;52.4
2449738.5;23;2;50.44;-8;10;22.1
2449743.5;23;3;27.19;-8;6;51.6
2449748.5;23;4;3.94;-8;3;20.7
2449753.5;23;4;40.69;-7;59;49.6
2449758.5;23;5;17.44;-7;56;18.3
2449763.5;23;5;54.2;-7;52;46.6
2449768.5;23;6;30.94;-7;49;14.7
2449773.5;23;7;7.69;-7;45;42.6
2449778.5;23;7;44.45;-7;42;10.2
2449783.5;23;8;21.2;-7;38;37.5
2449788.5;23;8;57.95;-7;35;4.6
2449793.5;23;9;34.71;-7;31;31.4
2449798.5;23;10;11.47;-7;27;58
2449803.5;23;10;48.22;-7;24;24.3
2449808.5;23;11;24.98;-7;20;50.3
2449813.5;23;12;1.74;-7;17;16.1
2449818.5;23;12;38.49;-7;13;41.7
2449823.5;23;13;15.26;-7;10;7
2449828.5;23;13;52.02;-7;6;32.1
2449833.5;23;14;28.78;-7;2;56.9
2449838.5;23;15;5.54;-6;59;21.4
2449843.5;23;15;42.32;-6;55;45.8
2449848.5;23;16;19.08;-6;52;9.9
2449853.5;23;16;55.85;-6;48;33.7
2449858.5;23;17;32.62;-6;44;57.3
2449863.5;23;18;9.39;-6;41;20.7
2449868.5;23;18;46.17;-6;37;43.9
2449873.5;23;19;22.95;-6;34;6.8
2449878.5;23;19;59.73;-6;30;29.4
2449883.5;23;20;36.5;-6;26;51.9
2449888.5;23;21;13.29;-6;23;14.1
2449893.5;23;21;50.08;-6;19;36.1
2449898.5;23;22;26.86;-6;15;57.8
2449903.5;23;23;3.65;-6;12;19.4
2449908.5;23;23;40.45;-6;8;40.7
2449913.5;23;24;17.24;-6;5;1.8
2449918.5;23;24;54.04;-6;1;22.6
2449923.5;23;25;30.85;-5;57;43.3
2449928.5;23;26;7.65;-5;54;3.7
2449933.5;23;26;44.45;-5;50;23.9
2449938.5;23;27;21.27;-5;46;43.9
2449943.5;23;27;58.08;-5;43;3.7
2449948.5;23;28;34.9;-5;39;23.2
2449953.5;23;29;11.72;-5;35;42.6
2449958.5;23;29;48.54;-5;32;1.7
2449968.5;23;31;2.2;-5;24;39.4
2449973.5;23;31;39.04;-5;20;57.9
2449978.5;23;32;15.87;-5;17;16.2
2449983.5;23;32;52.72;-5;13;34.3
2449988.5;23;33;29.57;-5;9;52.2
2449993.5;23;34;6.41;-5;6;9.9
2449998.5;23;34;43.27;-5;2;27.4
2450003.5;23;35;20.13;-4;58;44.8
2450008.5;23;35;56.99;-4;55;1.9
2450013.5;23;36;33.85;-4;51;18.8
2450018.5;23;37;10.73;-4;47;35.5
2450023.5;23;37;47.61;-4;43;52
2450028.5;23;38;24.48;-4;40;8.4
2450033.5;23;39;1.37;-4;36;24.6
2450038.5;23;39;38.26;-4;32;40.5
2450048.5;23;40;52.06;-4;25;11.9
2450058.5;23;42;5.87;-4;17;42.5
2450063.5;23;42;42.79;-4;13;57.6
2450073.5;23;43;56.64;-4;6;27.2
2450078.5;23;44;33.57;-4;2;41.7
2450088.5;23;45;47.45;-3;55;10.2
2450093.5;23;46;24.4;-3;51;24.2
2450098.5;23;47;1.36;-3;47;38.1
2450103.5;23;47;38.32;-3;43;51.7
2450108.5;23;48;15.29;-3;40;5.2
2450113.5;23;48;52.27;-3;36;18.6
2450123.5;23;50;6.23;-3;28;44.7
2450128.5;23;50;43.22;-3;24;57.6
2450133.5;23;51;20.23;-3;21;10.3
2450138.5;23;51;57.23;-3;17;22.8
2450143.5;23;52;34.24;-3;13;35.2
2450148.5;23;53;11.27;-3;9;47.4
2450153.5;23;53;48.29;-3;5;59.5
2450158.5;23;54;25.32;-3;2;11.4
2450163.5;23;55;2.37;-2;58;23.2
2450168.5;23;55;39.41;-2;54;34.8
2450173.5;23;56;16.47;-2;50;46.3
2450178.5;23;56;53.53;-2;46;57.6
2450183.5;23;57;30.6;-2;43;8.8
2450188.5;23;58;7.68;-2;39;19.8
2450193.5;23;58;44.77;-2;35;30.7
2450198.5;23;59;21.86;-2;31;41.5
2450203.5;23;59;58.96;-2;27;52.1
2450208.5;0;0;36.07;-2;24;2.6
